# EDUEXO_TRIAL_ORDER_V1
# metadata_json={"format_version": 1, "generation_config": {"end_control_trials_no": 10, "familiarization_trials_no": 20, "randomize_trials": 1, "torque_limit": 8.0, "trial_conditions": [{"assistance": "resist", "condition_id": "1", "condition_trial_no": 50, "torque": 1.0, "torque_profile": "trapezoid"}, {"assistance": "resist", "condition_id": "2", "condition_trial_no": 50, "torque": 2.0, "torque_profile": "trapezoid"}, {"assistance": "assist", "condition_id": "3", "condition_trial_no": 50, "torque": 1.0, "torque_profile": "trapezoid"}, {"assistance": "assist", "condition_id": "4", "condition_trial_no": 50, "torque": 2.0, "torque_profile": "trapezoid"}, {"assistance": "transparent", "condition_id": "5", "condition_trial_no": 50, "torque": 0.0, "torque_profile": "trapezoid"}], "trial_randomization": "resist_then_assist_with_transparent"}, "magic": "EDUEXO_TRIAL_ORDER_V1", "trial_count": 330, "trial_matrix_sha256": "811ca453ff1aec5facc5556bdd33777296201480662d4cc9574604ba2a1cb8c8"}
event,execution,torque_profile,torque_magnitude,exo_condition
1,99,99,99,99
0,99,99,99,99
1,99,99,99,99
0,99,99,99,99
0,99,99,99,99
0,99,99,99,99
1,99,99,99,99
1,99,99,99,99
1,99,99,99,99
1,99,99,99,99
0,99,99,99,99
0,99,99,99,99
1,99,99,99,99
0,99,99,99,99
0,99,99,99,99
0,99,99,99,99
1,99,99,99,99
1,99,99,99,99
0,99,99,99,99
1,99,99,99,99
1,1,0,0,2
1,0,0,2,0
0,0,0,1,0
0,0,0,1,0
1,0,0,2,0
0,0,0,1,0
0,0,0,2,0
1,1,0,0,2
1,0,0,1,0
1,0,0,1,0
0,1,0,0,2
0,0,0,2,0
1,0,0,2,0
0,1,0,0,2
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
1,0,0,2,0
0,0,0,2,0
0,1,0,0,2
1,0,0,1,0
0,0,0,2,0
1,0,0,1,0
1,0,0,2,0
1,0,0,1,0
0,0,0,1,0
1,1,0,0,2
0,0,0,1,0
0,0,0,2,0
1,0,0,2,0
0,0,0,2,0
1,0,0,1,0
0,0,0,2,0
1,0,0,1,0
1,0,0,1,0
0,0,0,1,0
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0,0,1,0
0,0,0,2,0
1,1,0,0,2
1,1,0,0,2
1,0,0,1,0
1,1,0,0,2
0,0,0,2,0
0,0,0,2,0
0,1,0,0,2
1,0,0,1,0
0,0,0,1,0
1,0,0,1,0
0,1,0,0,2
0,1,0,0,2
0,0,0,2,0
0,0,0,2,0
1,0,0,2,0
1,0,0,1,0
1,0,0,2,0
1,1,0,0,2
1,0,0,1,0
1,1,0,0,2
0,0,0,1,0
0,1,0,0,2
0,0,0,1,0
0,0,0,2,0
1,0,0,1,0
1,0,0,2,0
0,1,0,0,2
1,1,0,0,2
1,0,0,2,0
1,0,0,1,0
1,0,0,2,0
0,0,0,1,0
1,1,0,0,2
0,1,0,0,2
0,0,0,1,0
1,0,0,2,0
1,0,0,2,0
1,1,0,0,2
0,0,0,2,0
0,0,0,1,0
1,0,0,2,0
1,1,0,0,2
0,1,0,0,2
1,1,0,0,2
0,1,0,0,2
0,0,0,2,0
1,0,0,2,0
1,0,0,1,0
1,1,0,0,2
0,1,0,0,2
0,0,0,2,0
1,1,0,0,2
0,1,0,0,2
1,0,0,1,0
1,1,0,0,2
0,0,0,1,0
1,0,0,2,0
1,0,0,2,0
1,0,0,1,0
0,0,0,2,0
0,0,0,2,0
0,0,0,1,0
0,0,0,2,0
0,1,0,0,2
0,0,0,2,0
1,1,0,0,2
1,1,0,0,2
1,0,0,2,0
